SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
264,mal,Malayalam,Malayalam,മലയാളം‎ (Malayāḷam),"Alealum, Malayalani, Malayali, Malean, Maliyad, Mallealle, Malyalam, Mopla",IN,India,T,T,T,35601000,34800000,801000,"35,601,000 in India, all users.","34,800,000 in India (2011 census).","801,000 (2011 census).",,,2011,"38,180,200 (as L1: 37,367,500; as L2: 812,700)","Karnataka state: Dakshina Kannada, Kodagu, and Mysore districts; Kerala and Lakshadweep states; Puducherry state: Mahe; Tamil Nadu state: Colimbatore, The Nilgiris, and Tirunelveli districts.",Kerala,10.5227,76.3723,2,2 (Provincial),"Statutory provincial language in Kerala State; union territories Lakshadweep and Puducherry (1950, Constitution, Schedule VIII).",,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam","Malabar, Nagari-Malayalam, Malayalam, South Kerala, Central Kerala, North Kerala, Kayavar, Namboodiri, Moplah (Mapilla), Pulaya, Nasrani, Nayar, Kasargod, Jeseri (Dweep Bhasha, Jesri), Jewish Malayalam, Nuclear Malayalam, Tiyya (Ezhava), Ernad","Caste and communal dialects: Namboodiri, Nayar, Moplah, Pulaya, Nasrani. Mapilla is among the most divergent dialects, differing considerably from literary Malayalam.","SOV; postpositions; noun head final; gender (masculine/feminine/neuter); case-marking (7 cases); tense; 37 consonants, 11 vowels, 2 diphthongs; non-tonal; light stress on first syllable; inclusive/exclusive pronouns.",Cochin Jews in Kerala speak Malayalam.,,"Used as L2 by Allar [all], Aranadan [aaf], Attapady Kurumba [pkr], Irula [iru], Jennu Kurumba [xuj], Kadar [kej], Kalanadi [wkl], Kanikkaran [kev], Kodava [kfa], Kudiya [kfg], Kunduvadi [wku], Kurichiya [kfh], Mala Malasar [ima], Malapandaram [mjp], Malaryan [mjq], Malasar [ymr], Malavedan [mjr], Mannan [mjv], Moundadan Chetti [cty], Muduga [udg], Mullu Kurumba [kpb], Muthuvan [muv], Paliyan [pcf], Paniya [pcg], Pathiya [pty], Ravula [yea], Thachanadan [thn], Ullatan [ull], Urali [url], Wayanad Chetti [ctt].",,"Taught in primary and secondary schools through grade 5 and as subject thereafter in Kerala State, and Lakshadweep and Puducherry union territories.",Fully developed. Bible: 1841–2004.,,,"Arabic script, Naskh variant [Arab]. Braille script [Brai], used since 1998. Malayalam script [Mlym], primary usage.",A Classical Language of India since 2013.,"Hindu, Christian, Jewish, Muslim."
265,div,Maldivian,Maldivian,"ދިވެހި‎ (Divehi), ދިވެހިބަސް‎ (Divehi-bas)","Dhivehi, Dhivehi Bas, Mahl, Malikh, Malki",IN,India,F,T,T,9500,9500,,,"9,500 in India (2012).",,,,2012,"4,99,500","Lakshadweep state: Laccadives, Minicoy island; Kerala state: possibly in Trivandrum.",Lakshadweep,,,5,5* (Dispersed),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Sinhalese-Maldivian",Maliku Bas (Minicoy Dialect),,SOV.,"Those in Minicoy are undergoing acculturation owing to lack of contact with remaining Divehi people and pressure to use other languages (Malayalam [mal], English [eng], and Hindi [hin]).",Also use English [eng]. Also use Standard Arabic [arb].,,Literacy rate in L1: 95%–100%. Literacy rate in L2: 95%–100%.,,Fully developed. Bible portions: 2004–2017.,,,Thaana script [Thaa].,,"Muslim, traditional religion."
266,mup,Malvi,Malvi,मालवी‎ (Malvi),"Malavi, Mallow, Malwada, Malwi",IN,India,T,T,T,5440000,5440000,,,"5,440,000 (2011 census).",,"1,110,000 monolinguals.",,2011,,"Madhya Pradesh state: Bhopal, Dewas, Dhar, Guna, Indore, Mandsaur, Nimuch, Rajgarh, Rathlam, Sehore, Shajapur, and Ujjain districts; Rajasthan state: Jhalawar district. Sondwari dialect geographically isolated from the others.",Madhya Pradesh,23.3121,76.3726,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Unclassified","Ujjaini (Avanthika, Malvi Proper), Rajawadi, Umadwadi, Sondwari (Sondhwadi, Soudhwari), Bachadi, , Dholewari, Hoshangabad, Jamral, Katiyai, Malvi Proper, Patvi, Rangari, Rangri","Considered the standard variety, Southeastern Rajasthani Nimadi [noe] is reportedly most similar language with 70% intelligibility. 88%–92% intelligibility of Ujjaini dialect by other dialects. Lexical similarity: 65%–89% among dialects.",SOV; nontonal.,"Vigorous. Home, village, religion. Positive attitudes.",Most also use Hindi [hin]. Also use English [eng].,,Literacy rate in L2: 58% for rural Madhya Pradesh (2001 census). Government project discontinued due to low response.,,Literature. Radio. Dictionary. NT: 1826.,,,Devanagari script [Deva].,,"Hindu, Muslim."
267,mha,Manda,Manda,,,IN,India,T,T,T,4040,4040,,,"4,040 (2000).",,,,2000,,"Odisha state: Kalahandi district, Thuamul Rampur subdivision.",Odisha,19.5937,83.0622,6b,6b* (Threatened),,,"Dravidian, South-Central, Gondi-Kui, Konda-Kui, Manda-Kui, Manda-Pengo",,,,,Also use English [eng].,,,,Dictionary.,,,,,Hindu.
268,mjl,Mandeali,Mandeali,मंडियाली‎ (Mandiali),"Mandi, Mandiali, Mandyali, Pahari Mandiyali",IN,India,T,T,T,623000,623000,,,"623,000 (2011 census).",,,,2011,,Himachal Pradesh state: Mandi district.,Himachal Pradesh,31.6445,77.0126,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari",,"Preliminary survey suggests speakers have functional intelligibility of Kangri [xnr]. People in southeast Mandi district may have more difficulty understanding Kangri. Standard Mandeali is spoken throughout the broad valley running north and south from Jogindernagar to Sundarnagar. Mandeali Pahari is spoken north around Barot, east of Uhl River. Intelligible with difficulty to standard Mandeali. May be intermediate variety between Mandeali and Kullui [kfx]. Southeast district contains transition to Mahasui [bfz]. In the west, Sarkaghat is also a bit different from standard Mandeali, perhaps forming a transition towards Hamirpur and Bilaspur areas. Lexical similarity: 89% with Palampuri dialect of Kangri [xnr], 83% with Chambeali [cdh].",SOV.,Used by all.,Also use Eastern Punjabi [pan]. Also use English [eng]. Also use Hindi [hin]. Also use Urdu [urd].,,,,Newspapers. Radio. NT: 2017.,,,"Devanagari script [Deva]. Takri (Tankri, Takari) script [Takr], no longer in use.",,Hindu.
269,mju,Manna-Dora,Manna-Dora,,,IN,India,T,T,T,18000,18000,,,"18,000 (2011 census).",,,########,2011,,"Andhra Pradesh state: Srikakulam, Vishakhapatnam, and Vizianagaram districts, scattered in East Godavari and West Godavari districts; perhaps in Tamil Nadu state.",Andhra Pradesh,18.415,83.4298,8b,8b (Nearly extinct),,,"Dravidian, South-Central, Telugu",,,,It is uncertain if they are speaking Telugu [tel] or a closely related language of their own.,Shifted to Telugu [tel].,,,,,,,Telugu script [Telu].,,Hindu.
270,mjv,Mannan,Mannan,,"Inavan petch, Mannan Pasha, Manne, Mannyod",IN,India,T,T,T,7850,7850,,,"7,850 (2001 census). 7,760 in Kerala, 82 in Tamil Nadu.",,,"12,000 (Shaw 2008).",2001,,"Kerala state: Idukki district, Devikulam, Pirmed, and Udumpanchola sub-districts; Tamil Nadu state: scattered in Madurai district.",Kerala,9.9756,77.0264,6b,6b (Threatened),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam",,"Little variation between varieties with 92% intelligibility, 70% intelligibility of Malayalam [mal]. Lexical similarity: 86%–96% between varieties, 57%–61% with Tamil [tam], 56%–64% with Malayalam [mal].",,"Home, village, religion. Some young people, all adults. Positive attitudes. Interest in language development.","Also use Malayalam [mal], with many youth shifting, especially the educated and those having contact with outsiders (Shaw 2008).",,"Literacy rate in L2: 50% for Kerala, 84% for Tamil Nadu (2001 census).",,NT: 2018.,,,Malayalam script [Mlym].,A Scheduled Tribe in Kerala and Tamil Nadu. Not the same as the Scheduled Caste Mannan in Trivandrum and other adjoining districts of Kerala and Tamil Nadu who speak Malayalam. Romanized spelling is the same but the Scheduled Caste name is pronounced with retroflex double n.,"Hindu, traditional religion."
271,mrh,Mara,Mara,"Mara, Mara Reih","Hawthai, Mira, Sabeu, Tlongsai, Zao, “Chin, Mara” (pej.), “Lakher” (pej.), “Mara Chin” (pej.), “Maraa” (pej.), “Miram” (pej.), “Shendu” (pej.)",IN,India,T,T,T,75000,75000,,,"75,000 in India (2024 Executive Secretary of the Mara Autonomous District Council).",,,,2024,"1,22,000","Mizoram state: Siaha district, Mara Autonomous District Council and other districts. 2 towns, 60 villages. Also some population in other states.",Mizoram,22.0661,93.0941,4,4 (Educational),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Maraic, Mara","Tlôsai-Siaha (“Tlongsai” (pej.)), Lôchei-Hawthai, Chapi-Ngiaphia-Sabyh (“Fàbau” (pej.), “Sabeu” (pej.), Sizô), Zyhno-Lialai-Heima (“Zawhnai” (pej.)), Vyhtu",Same as Shendu [shl]; Shendu is an exonym for Mara. Tlôsai-Siaha dialect is the lingua franca of the Mara people.,SOV.,Vigorous. All domains. Used by all. Positive attitudes.,Many also use English [eng]. Also use Mizo [lus].,Used as L2 by Zyphe Chin [zyp].,,Taught in most primary schools through grade 8.,Literature. Dictionary. Grammar. Bible: 1955–2023.,,,Latin script [Latn].,,Christian.
272,mar,Marathi,Marathi,मराठी‎ (Marāṭhī),"Maharashtra, Maharathi, Malhatee, Marthi, Muruthu",IN,India,T,T,T,99000000,83000000,16000000,"99,000,000 in India, all users.","83,000,000 in India (2011 census).","16,000,000 (2011 census).",,,2011,"99,262,870 (as L1: 83,247,270; as L2: 16,015,600)","Andhra Pradesh, Chhattisgarh, Goa, Karnataka, and Madhya Pradesh states; Maharashtra state: Belgaum, Bidar, and Karnataka districts.",Maharashtra,19.3455,76.2593,2,2 (Provincial),"Statutory provincial language in Maharashtra State (1950, Constitution, Schedule VIII).",,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern","Gawdi of Goa, Kasargod, Kosti, Kudali, Nagpuri Marathi, Thanjavuri Marathi","Complex dialect situation with many dialects. Dialects bordering other major language areas share many features with those languages. Dialects or closely related languages: Konkani [knn], Goan Konkani [gom], Deccan [dcc], Varhadi-Nagpuri [vah], and Gowlan [goj]. There is a dialect in Thanjavur District and elsewhere in Tamil Nadu influenced lexically by Tamil [tam] and Kannada [kan], with at least 100,000 speakers.",,The Bene Israel are a Marathi-speaking Jewish group in Mumbai.,,"Used as L2 by Ahirani [ahr], Andh [anr], Bhalay [bhx], Far Western Muria [fmu], Gowli [gok], Indo-Portuguese [idb], Katkari [kfu], Khandesi [khn], Korku [kfq], Korlai Portuguese Creole [vkp], Lambadi [lmn], Mawchi [mke], Nihali [nll], Noiri [noi], Northern Gondi [gno], Northwestern Kolami [kfb], Palya Bareli [bpx], Pardhan [pch], Pauri Bareli [bfb], Powari [pwr], Rathwi Bareli [bgd], Saraiki [skr], Tulu [tcy], Vaagri Booli [vaa], Varli [vav], Vasavi [vas], Waddar [wbq].",Literacy rate in L1: 77% (2001 census). Literacy rate in L2: 77% (2001 census).,Taught in primary and secondary schools through grade 5 and as subject thereafter in Maharashtra state.,Fully developed. Bible: 1821–2002.,,,"Braille script [Brai]. Devanagari script [Deva], primary usage. Modi script [Modi].","The Habshi are Muslim, descended from East African slaves brought to western India. Are is a synonym for a Marathi caste name. Are also refers to Marathi-speaking communities in south India.","Hindu, Jewish, Muslim."
273,mrr,Maria,Maria,माडिया गोंड‎ (Maadiya Gond),"Hill Madia, Hill Maria, Madi, Madia, Madia Gond, Madiya, Modh, Modi",IN,India,T,T,T,165000,165000,,,"165,000 (2000). 141,000 Maria and 23,700 Hill Maria; All Gondi speakers: 2,910,000 (2011 census).",,,,2000,,"Chhattisgarh state: Bastar district, Narayanpur and Bijapur sub-districts, administrative block of 200 villages known as ‘Abujhmar block’; Maharashtra state: Garhchiroli (Chanda) district, Bhamragad, Etapalli, and Sironcha sub-districts.",Maharashtra,19.6798,80.3741,6a,6a* (Vigorous),,,"Dravidian, South-Central, Gondi-Kui, Gondi","Abujmaria (Abujhmadia, Abujhmaria, Abujmar Maria, Abujmariya, Hill Maria), Adewada, Bhamani Maria (Bhamani), Etapally Maria","Etapally Maria dialect is apparently understood by all. Distinct from Muria, Dandami Maria [daq], Northern Gondi [gno], Adilabad Gondi [wsg], Aheri Gondi [esg], and Koya [kff]. 76%–77% intelligibility of other Gondi varieties. Muria Gondi [mut] is intelligible of Abujmaria around Narainpur area but not elsewhere. Distinct from Maria dialect of Chanda District in Maharashtra (Natarajan 1985). Intelligibility 90%–100% of Bhamragarh dialect by other Maria speakers. Maria is intelligible to the Gatte Maria, an ethnic group. Lexical similarity: 59%–80% among dialects (1991 survey), 65%–98% (1999 survey).",,All domains.,"Some also use Halbi [hlb], especially men who may also use a Muria variety. Also use English [eng]. Also use Hindi [hin].",,"Literacy rate in L1: Men 5%, women below 1%. Literacy rate in L2: 25%–50%. High interest in literacy.",,Grammar. Bible portions: 2019.,,,Devanagari script [Deva].,A Scheduled Tribe.,"Hindu, Christian, traditional religion."
274,daq,"Maria, Dandami",Dandami Maria,,"Bastar Koya, Bison Horn Maria, Dandami Madiya, Dhuru, Gondi Madiya, Madiya, Maria Gond",IN,India,T,T,T,200000,200000,,,"200,000 (2000). All Gondi speakers: 2,910,000 (2011 census).",,,,2000,,"Andhra Pradesh state: Bijapur, Chhattisgarh, and Daksin Bastar Dantewada districts; Maharashtra state: Garhichiroli district; Telangana state: Khamman district.",Andhra Pradesh,18.7206,81.0128,5,5 (Developing),,,"Dravidian, South-Central, Gondi-Kui, Gondi","Geedam, Sukma (Suka)","Those in Geedam and Bailadila have 95%–98% mutual intelligibility, 81% of the Sukma variety, but 18%–21% of Maria [mrr], 18%–45% of Muria in Sukma understood the Geedam variety at 81% or lower; those in Bailadila understood Sukma at 92%. May be more than one language. Distinct from Northern Gondi [gno], Adilabad Gondi [wsg], Aheri Gondi [esg], Maria of Garhchiroli, and Koya [kff].",,Used by all.,Also use English [eng].,,Literacy program in progress.,,Grammar. NT: 2010.,,,Devanagari script [Deva].,A Scheduled Tribe.,"Hindu, traditional religion."
275,rmz,Marma,Marma,မရမာ‎ (Mraima),"Arkanese-Marma, Mraima, “Mogh” (pej.)",IN,India,F,T,T,36700,36700,,,"36,700 in India (2011 census).",,,,2011,"2,60,700",Mizoram and Tripura states.,Mizoram,,,6a,6a* (Vigorous),,,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Southern",,,,"Home, village.",Also use English [eng].,,,,NT: 2022.,,,"Bengali (Bangla) script [Beng], used in Bangladesh. Myanmar (Burmese) script [Mymr], used in India.",,"Buddhist, Christian, Muslim."
276,rwr,Marwari,Marwari,मारवाड़ी‎ (Mārwāṛī),"Marrubhasha, Marvadi, Marvari, Marwadi, Rajasthani",IN,India,T,T,T,7830000,7830000,,,"7,830,000 in India (2011 census).",,,,2011,"7,854,750 (as L1: 7,851,300; as L2: 3,450)","Rajasthan state: Barmer, Bikaner, Churu, Jaisalmer, Jalore, Jodhpur, and Pali districts; Delhi, Gujarat, Haryana, Madhya Pradesh, Punjab, and Uttar Pradesh states; thoughout India.",Rajasthan,26.4528,71.9518,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari","Barmeri, Bikaneri, Jaisalmeri, Standard Marwari (Jodhpuri)","The standard form of Marwari. May or may not be different from Marwari of Pakistan [mve]. 67% intelligibility of Shekhawati [swv], 61% of Godwari [gdx], 54% of Mewari [mtr], 54% of Dhundari [dhd], 45% of Haroti [hoj], and 45% of Mewati [wtm]. 53% intelligibility of Shekawati by Marwari. Lexical similarity: 50%–65% with Hindi [hin], 69%–76% with Merwari [wry], 72%–87% between dialects, 62%–74% with Godwari [gdx], 61%–77% with Shekawati [swv].",SOV; postpositions; noun head final; content q-word in situ; clause constituents indicated by case-marking; both tense and aspect; 38 consonant and 10 vowel phonemes; nontonal.,"Vigorous. Home, village, market, religion. Used by all. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], especially educated people.",,Literacy rate in L1: 5%–10%. Literacy rate in L2: 50%–75%.,,Literature. Newspapers. Radio. Dictionary. Grammar. Texts. NT: 1820–2023.,,,Devanagari script [Deva].,,"Hindu, Jain, Muslim."
277,mke,Mawchi,Mawchi,,"Māwəchī, Mauchi, Mavchi, Mawachi, Mawchi Bhil, Mowchi",IN,India,T,T,T,98500,98500,,,"98,500 (2011 census).",,,,2011,,Gujarat state: southeast; Maharashtra state: Dhule district.,Maharashtra,20.9265,73.9609,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil","Mawchi, Padvi",,,,Also use English [eng]. Also use Marathi [mar].,,Literacy rate in L1: 5%–10%. Literacy rate in L2: 25%–50%.,,Radio. NT: 1989.,,,Devanagari script [Deva].,,Traditional religion.
278,mni,Meitei,Meitei,মৈতৈলোন্‎ (Meiteilon),"Kaṯhe, Kathe, Kathi, Mēkhalī, Mēklē, Mailhai, Manipuri, Meetei, Meeteilon, Meitei Manipuri, Meiteilon, Meiteiron, Meithe, Meithei, Meithlei, Menipuri, Mitei, Mithe, Pōṇṇā, Ponna",IN,India,T,T,T,2246000,1760000,486000,"2,246,000 in India, all users.","1,760,000 in India (2011 census).","486,000 (2011 census).",,,2011,"2,261,000 (as L1: 1,775,000; as L2: 486,000)","Assam state: Cachar and Dima Hasao; Mainly Manipur state; Nagaland state: Dimapur, Kohima, Peren, Phek; Mizoram state: Aizwal and Kolasibi; possibly some in nearby states.",Manipur,24.3075,91.6883,2,2 (Provincial),"Statutory provincial language in Manipur State (1950, Constitution, Schedule VIII), amended 1992.",,"Sino-Tibetan, Tibeto-Burman","Meitei, Loi (Chakpa), Pang-gal (Manipuri Muslim, Pang-gan)","Intelligibility of Meitei in Bangladesh is difficult. Those in Bangladesh may understand India Meitei better than vice versa possibly due to more language change in Bangladesh over the years. India Meitei is more standard. Intelligibility between dialects in Bangladesh definitely sufficient to understand complex and abstract discourse. Lexical similarity: 80%–86% between dialects in Bangladesh, 65%–70% between Bangladesh and India varieties.",SOV; postpositions; articles before noun heads; 25 consonants and 6 vowels; tonal (2 tones).,,Also use Hindi [hin].,"Used as L2 by Aimol [aim], Anal [anm], Chiru [cdf], Chothe Naga [nct], Gangte [gnb], Hmar [hmr], Inpui Naga [nkf], Kharam Naga [kfw], Koireng [nkd], Kom [kmm], Lamkang [lmk], Mao Naga [nbi], Maram Naga [nma], Monsang Naga [nmh], Moyon Naga [nmo], Purum [pub], Tarao Naga [tro], Thado Chin [tcz], Thangal Naga [nki].",Literacy rate in L1: 73% (2005 BI). Literacy rate in L2: 69% for Manipur (2001 census).,Taught in primary and secondary schools through grade 5 and as subject thereafter in Manipur state.,Literature. Radio. Videos. Dictionary. Grammar. Texts. Bible: 1984–2022.,,,"Bengali (Bangla) script [Beng]. Braille script [Brai]. Latin script [Latn], unofficial usage. Meitei Mayek script [Mtei].","Mainly rural. 7 clans (Mangang (Ningthouja), Luwang. Khuman (Khumal), Moirang, Angom, Khaba-nganba, and Sarang-leisangthem).","Hindu, Christian, Muslim, traditional religion."
279,wry,Merwari,Merwari,,Ajmeri,IN,India,T,T,T,3900000,3900000,,,"3,900,000 (2001 census).",,,,2001,,Rajasthan state: Ajmer and Nagaur districts.,Rajasthan,26.66,74.443,6a,6a (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari",,"82%–97% intelligibility of Marwari [mve]. Lexical similarity: 60%–73% between varieties of Merwari in Ajmer and Nagaur districts; 49%–74% with Marwari [rwr], 58%–80% with Shekhawati [swv], 44%–70% with Godwari [gdx], 54%–72% with Mewari [mtr], 62%–70% with Dhundari [dhd], 57%–67% with Haroti [hoj].",,"Vigorous. Home, village, market, religion. Used by all. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], especially educated people, with very good proficiency.",,,,Radio.,,,Unwritten [Qaax].,,
